date;content
1/01/2025;Que manera de empezar el año, la verdad fue un día bastante caótico, empezando por una llamada en la madrugada donde se pensaba terminar, luego una visita mañanera para confirmar todo lo escuchado en la llamada y por último una visita en la noche para aclarar lo sucedido y seguir juntos. PD: Que bonito mi regalo
2/01/2025;El día transcurrió como de costumbre, platicamos y enviamos tiktoks, por la noche yo salí y te iba a saludar a distancia, a esto tú me dijiste que mejor te pasara dando un besito (como me gustó eso) pasaron cositas, pequeños disgustos, pero era más carga emocional que yo tenía en ese momento, te agradezco por ser mi lugar seguro.
3/01/2025;Hoy olvidaste pasar a traer a Tun ajajjaja también terminé de probar los chuchitos y paches que me diste (estaban bien ricos), hasta que llegó la noche y por un saludo pasaron cositas, tuvimos un tiempo de plática bajo la lluvia, te escuchaba mientras me contabas todo y luego fuimos a la rueda de chicago, terminamos platicando en una banca del parque, ya no sabía que más te podía decir, pero quería seguir a tu lado para acompañarte en todo momento. 
4/01/2025;"De mi lado tuve una plática primera con mi suegrita sobre los eventos ocurridos el día de ayer, considero que estoy permitió que las cosas se aclararan, más tarde baje y platiqué contigo sobre todo, afortunadamente hoy tuvimos nuestra primera salida del año, fuimos a probar tacos, yo quería tacos de lengua, pero no habían ;( tú probaste unos tacos de birria y luego los calificamos, tú diste un 7/10 y yo un 8/10, seguiremos en la búsqueda de buenos tacos, luego fuimos a pegarle un poco al saco de box de Andaria y quisimos jugar billar, pero estaban ocupadas las mesas ;( "
5/01/2025;Iniciamos tratando de hacer nuestra combinación para llegar a dominical iguales, creo que no tenemos la misma visión de un color corinto jajaaja en la tarde todo tranquilo, hasta que llegó la noche, pasaron cositas y hubo una ligera discusión, a la que afortunadamente logramos llegar a un acuerdo y estar en paz. 
6/01/2025;Hoy ibamos a iniciar a ir al gimnasio, pero no se pudo porque nos habíamos desvelado un día antes, te toco trabajar hasta tarde saliste a las 7:00 p.m. pero obveamente fui a esperarte, porque ya estaba oscuro, eso nos permitió vernos un ratito (aunque mi nuevo corte te pareció raro porque estaba aplastado por la gorrar jaja) 
7/01/2025;Hoy fue nuestro primer día de gimnasio, la verdad se sintió tan bonito, que aunque cada uno estuviera en su rutina teníamos unos breves momentos para poder ir, darle un besito o abrazo al otro, por la tarde nos vimos un rato y avanzamos en los stickers para los cuadernos de Oliver, terminamos el día discutiendo y con el problema más grande hasta el momento de la relación. 
8/01/2025;Día muy complicado debo decir, mis ganas de escribirte, de hablar no se van, toco ir a Guate y estar muy intranquilo porque no te escribía, aún así en la noche te mandé un par de tiktoks que expresaban mi sentir. 
9/01/2025;Considero este día bastante fuerte, aun con el poco sueño toco nuevamente ir a Guate, se empezaba a notar el cansancio físico y mental, por la tarde al regresar fui con Oliver a terminar sus stickers, la verdad estaba muy emocionado pensando en que dinosaurios poner, por lo mismo algunos llevan más de uno, estuvo complicado la despedida porque solo preguntaban el motivo del porque no me quedaba y te esperaba. 
10/01/2025;Este fue el peor día, la madrugada me puso sentimental y me dispuse a escribirte y expresarte mis sentimientos mediante una carta, la verdad es que se quedó corta, me hubiera gustado mencionar muchas cosas más, por la noche había reunión de escuela dominical, realmente quería verte, pero afortunadamente también tenía yo una reunión con el equipo de multimedia, así que decidí darte más espacio, por la noche ya pudimos platicar más sobre nuestra situación, considero que un poco más tranquilos y acordamos hablar mañana en persona. 
11/01/2025;Hoy cumplimos 13 meses de estar juntos, fue un día con muchas cosas entre los dos, primero que nada se llegó el momento esperado de la plática, ambos expresamos nuestro sentir y que pasaba, me siento muy feliz de que hayamos podido llegar al acuerdo de seguir juntos, aunque me hayas dicho que todo sería algo diferente, pero que esperabas no cambiar mucho, eso le dio un alivio a mi corazón. Seguimos siendo un EQUIPO. 
12/01/2025;"Hoy fue un día bastanteee bonito, llegaste tarde a dominical, no me quisiste contar :""( como que ya no me tienes la misma confianza ;( a pesar de ese mínimo detallito el resto del día fue espectacular, por la tarde vimos el partido del barcelonita, uffff tremendo partidazooo y lo mejor victoriaaaa, al terminar bajamos y vimos una película, me quedé dormidooooo :o pero se sintió tan bonito dormir en tu pecho (es primera vez que sucede) por la noche fuimos a comer y una plática tan amena con tu familia, me gusta sentir que cada vez nos llevamos mejor."
13/01/2025;Hoy fue un día tranquilito, iniciamos con ir al gym, fue muy bonito las visitas entre descansos y unos besitos, como me encantaaa esoooo. <br>En cosas por destacar solamente que hoy estabas al perdida en el tiempo jaja y yo bien ocupado:(
14/01/2025;Hoy fue un día muy bonito, tuvimos la primer salida de cafecito del año, plática muy amena, chismecito y de todo un poco, se que te esta costando seguir igual y que nada cambie, te lo dije y lo dejo plasmado acá, perdón, enserio trato de entender y comprenderte, pero algunas veces si me siento extraño o diferente, yo buscaré la manera de igual seguir como siempre y como soy, te amo mi niña hermosa.
15/01/2025;Hoy fue la presentación de directivas en la iglesia, debo decir que estabas hermosa con ese vestido verde 😍, luego un tiempo de plática después de servicio (amo estos tiempos de tú y yo)
16/01/2025;Día bastante interesante, siempre es bonito poder compartir contigo estos momentos tan únicos e íntimos, dormir junto a ti es tan bonitooo.
17/01/2025;Hoy los dos estabamos con sueño jajaja es que iniciamos haciendo cardio y luego fuimos al gym a hacer cardio :0 por la noche solamente tuvimos un tiempo de llamadita bastante bonito.
